Image Path,Average Red,Average Green,Average Blue
Dataset(ROI)\dataset1.png,91.38184623681693,88.08073166347084,90.05020074304898
Dataset(ROI)\dataset2.png,123.73643994834265,95.09606830248238,64.53350552446545
Dataset(ROI)\dataset3.png,104.32785686802616,75.2412658714891,43.17208060792614
Dataset(ROI)\dataset4.png,157.77804843304847,126.15158119658118,116.07740740740736
Dataset(ROI)\dataset5.png,131.84297758381246,104.48623018520875,81.25962471371136
Dataset(ROI)\dataset6.png,164.953629820219,102.37761529442413,57.82225442939034
Dataset(ROI)\dataset7.png,122.63895792331677,104.95046041573893,78.72731321199237
Dataset(ROI)\dataset8.png,153.5179562400684,133.839151692947,116.38434176751012
Dataset(ROI)\dataset9.png,127.45622222222224,106.03313580246922,88.97590123456793
Dataset(ROI)\dataset10.png,85.53206340378196,64.6921857619577,49.89124026696331
Dataset(ROI)\dataset11.png,219.613919848641,221.26604403164805,220.0033694530443
Dataset(ROI)\dataset12.png,192.61246794606666,204.50808586318132,209.59029903217808
Dataset(ROI)\dataset13.png,169.1834404231139,172.39272445143828,179.2101728006528
Dataset(ROI)\dataset14.png,204.2864983019681,206.10890856896268,206.45465035555472
Dataset(ROI)\dataset15.png,221.9161227786753,217.6184139917117,208.35785067078737
Dataset(ROI)\dataset16.png,168.38510249850947,165.34956683052533,157.63834826237695
Dataset(ROI)\dataset17.png,227.6287164322249,236.38987372122796,226.28447090792855
Dataset(ROI)\dataset18.png,212.87238975776938,208.52915790585362,206.4492928943806
Dataset(ROI)\dataset19.png,224.10782993459017,220.52849653712954,219.7894863409004
Dataset(ROI)\dataset20.png,228.2919876155683,221.361773244914,220.05677983351748
Dataset(ROI)\dataset21.png,47.13583653364498,39.232768408749386,38.858891300718
Dataset(ROI)\dataset22.png,47.98558201058198,39.21493506493507,32.276034151034125
Dataset(ROI)\dataset23.png,36.65886818775947,31.844578990498267,29.540401064629524
Dataset(ROI)\dataset24.png,46.07263034635768,37.92261391182878,36.288703315666204
Dataset(ROI)\dataset25.png,36.043512099333135,30.178511790782345,29.74312922012191
Dataset(ROI)\dataset26.png,32.04595700846329,24.51424531995228,22.5402023024027
Dataset(ROI)\dataset27.png,20.638568666903385,17.63134098709905,15.121324022566789
Dataset(ROI)\dataset28.png,35.24382964453384,32.469162594615305,27.46796732777615
Dataset(ROI)\dataset29.png,16.821095571095565,12.755290761869706,14.59534106244633
Dataset(ROI)\dataset30.png,16.022182559918406,14.57723100458949,17.44391466938637
Dataset(ROI)\dataset31.png,229.04093968095717,220.54916500498507,221.71267447657024
Dataset(ROI)\dataset32.png,194.8432400932401,189.1427738927739,188.05521561771567
Dataset(ROI)\dataset33.png,198.71554006968634,175.9161672473867,179.2589547038327
Dataset(ROI)\dataset34.png,213.07206632653055,187.93197278911563,185.71003401360542
Dataset(ROI)\dataset35.png,206.54605090527417,170.94673314090792,163.7713198635528
Dataset(ROI)\dataset36.png,223.60542582417585,194.11813186813194,194.06971153846152
Dataset(ROI)\dataset37.png,203.26130022321428,184.26476004464286,175.35853794642858
Dataset(ROI)\dataset38.png,219.28268518518522,203.6977777777778,199.4195370370371
Dataset(ROI)\dataset39.png,238.66182834475302,222.02434186801293,213.97836278398844
Dataset(ROI)\dataset40.png,216.84831460674164,193.29576999339062,192.6095505617978
Dataset(ROI)\dataset41.png,163.59164560243696,100.54579039471128,56.31022749368075
Dataset(ROI)\dataset42.png,153.9613808498762,82.52575938770632,47.78749900342818
Dataset(ROI)\dataset43.png,175.25144300144302,102.32184085755513,57.86765615337042
Dataset(ROI)\dataset44.png,165.60761771108847,92.59554524027989,22.820802072650707
Dataset(ROI)\dataset45.png,137.26112523839797,71.92546090273359,28.24078194532739
Dataset(ROI)\dataset46.png,211.90864640713016,135.1409915207031,71.63470941387635
Dataset(ROI)\dataset47.png,166.7967204261481,94.94021405601785,24.916500969634477
Dataset(ROI)\dataset48.png,196.4311311311311,128.60027527527532,78.13400900900899
Dataset(ROI)\dataset49.png,135.96026661489677,58.39163916391637,23.887465217109963
Dataset(ROI)\dataset50.png,109.64347336834206,51.904913728432106,23.533945986496622
